 1961  -0.43   0.58  -2.47   1.15   0.18  -0.53   0.18  -0.16   0.11  -0.73   0.68   1.31   -0.01
 1962   1.72  -0.41  -0.32   0.30   1.10   0.37  -0.04   0.26   0.53   0.95   0.27  -0.10    0.39
 1963   0.80   0.26   0.66   0.51   0.14  -1.30  -0.13  -0.43  -0.60  -1.46  -0.93  -1.35   -0.32
 1964  -0.53  -0.13   0.71   1.78  -0.02   0.72   0.62   1.32   1.29   1.26  -0.06  -0.49    0.54
 1965  -0.52   0.01   0.24  -1.34  -0.03  -1.63  -2.32  -1.37  -1.41  -1.22  -1.86   0.02   -0.95
 1966  -1.36  -0.54  -1.75  -0.90  -0.71   0.14  -0.15   0.19  -0.24  -0.33  -0.20  -0.61   -0.54
 1967   1.52   1.20   0.65  -0.12  -0.41   0.67   0.18   0.44   0.44  -0.17  -0.57  -0.78    0.25
 1968   0.47   0.77  -0.56  -0.31   1.21   1.27   0.77  -0.20  -0.36  -0.35  -0.44   0.13    0.20
 1969  -1.36  -0.85  -0.03  -0.90  -0.78  -0.24  -0.73  -0.71  -1.10  -1.35  -0.18   0.24   -0.66
 1970  -1.26  -1.22   0.06  -0.56   0.04   1.02  -0.52   0.31   1.18   0.74   1.85   1.83    0.29
 1971   0.23   1.44   1.98   2.58   0.88   0.21   0.17   1.42   1.51   1.75   0.55   0.15    1.07
 1972   0.33   0.67   0.13  -0.46  -1.52  -1.68  -1.84  -1.12  -1.48  -1.13  -0.38  -1.47   -0.83
 1973  -0.43  -1.47  -0.06  -0.37   0.25   1.22   0.63   1.18   1.27   0.85   2.85   1.76    0.64
 1974   2.16   1.49   2.10   1.27   1.24   0.14   1.23   0.56   1.16   0.72  -0.42  -0.14    0.96
 1975  -0.62   0.46   1.14   1.48   0.51   1.69   2.13   2.03   2.15   1.67   1.25   2.05    1.33
 1976   1.19   1.18   1.33   0.24   0.50  -0.16  -1.24  -1.46  -1.29   0.13   0.76  -0.48    0.06
 1977  -0.39   0.65  -1.20  -1.17  -1.18  -2.33  -1.45  -1.42  -0.95  -1.39  -1.56  -1.23   -1.14
 1978  -0.48  -2.63  -0.82  -0.88   1.50   0.40   0.53   0.12   0.06  -0.76  -0.28  -0.21   -0.29
 1979  -0.45   0.61  -0.49  -0.65   0.46   0.58  -0.76  -0.69   0.11  -0.37  -0.61  -0.90   -0.26
 1980   0.28  -0.02  -1.06  -1.60  -0.35  -0.68  -0.14  -0.06  -0.54  -0.34  -0.47  -0.21   -0.43
 1981   0.27  -0.47  -2.01  -0.60   0.82   1.28   0.87   0.40   0.52  -0.71   0.07   0.41    0.07
 1982   0.87  -0.03   0.05  -0.46  -0.74  -2.49  -1.89  -2.66  -2.12  -2.20  -3.25  -2.48   -1.45
 1983  -3.36  -3.46  -3.25  -1.41   0.79  -0.58  -0.70  -0.37   0.91   0.34  -0.12  -0.17   -0.95
 1984  -0.03   0.43  -0.85   0.39  -0.03  -1.22   0.12   0.10   0.17  -0.61   0.12  -0.24   -0.14
 1985  -0.55   0.79   0.20   1.42  -0.15  -1.39  -0.20   0.66   0.00  -0.76  -0.35   0.12   -0.02
 1986   0.82  -1.28  -0.09   0.11  -0.63   1.01   0.24  -0.85  -0.53   0.54  -1.57  -1.64   -0.32
 1987  -0.75  -1.41  -2.03  -2.69  -2.12  -2.69  -1.82  -1.67  -1.13  -0.69  -0.07  -0.66   -1.48
 1988  -0.31  -0.65   0.13  -0.03   1.09  -0.20   1.17   1.36   1.92   1.35   1.92   1.09    0.74
 1989   1.31   0.80   0.59   2.18   1.45   0.81   0.95  -0.82   0.52   0.61  -0.38  -0.62    0.62
 1990  -0.21  -1.79  -1.09  -0.01   1.41  -0.07   0.57  -0.71  -0.78  -0.17  -0.68  -0.38   -0.33
 1991   0.45  -0.06  -1.35  -1.55  -1.74  -0.79  -0.07  -1.07  -1.64  -1.55  -0.77  -2.02   -1.01
 1992  -2.85  -1.05  -2.85  -2.06   0.06  -1.82  -0.63  -0.01   0.06  -2.03  -0.84  -0.71   -1.23
 1993  -0.93  -0.96  -1.13  -2.29  -0.59  -2.18  -1.06  -1.73  -0.78  -1.57  -0.13   0.07   -1.11
 1994  -0.25  -0.06  -1.35  -2.63  -1.26  -1.46  -1.70  -2.03  -1.70  -1.58  -0.81  -1.41   -1.35
 1995  -0.51  -0.35   0.24  -1.72  -0.91  -0.31   0.44  -0.11   0.28  -0.34  -0.02  -0.72   -0.33
 1996   0.82  -0.02   0.53   0.91   0.46   1.60   0.70   0.33   0.66   0.26  -0.21   0.71    0.56
 1997   0.29   1.21  -1.09  -1.55  -2.41  -3.02  -0.91  -2.31  -1.55  -1.69  -1.31  -1.12   -1.29
 1998  -2.53  -1.97  -3.31  -2.80   0.17   1.05   1.49   0.83   1.04   1.01   1.01   1.32   -0.23
 1999   1.58   0.58   0.78   2.10   0.44   0.00   0.52  -0.03  -0.07   0.95   1.22   1.37    0.79
 2000   0.47   1.24   0.88   1.76   0.42  -0.87  -0.34   0.48   0.97   0.87   2.02   0.77    0.72
 2001   0.78   1.00   0.46  -0.18  -0.84  -0.19  -0.27  -1.01   0.11  -0.38   0.64  -1.06   -0.08
 2002   0.20   0.64  -0.81  -0.48  -1.54  -1.02  -0.70  -1.62  -0.66  -0.79  -0.60  -1.30   -0.72
 2003  -0.30  -0.90  -0.91  -0.48  -0.85  -1.75   0.26  -0.35  -0.18  -0.26  -0.32   0.92   -0.43
 2004  -1.31   0.77  -0.11  -1.91   1.22  -1.91  -0.72  -0.90  -0.31  -0.42  -1.06  -0.94   -0.63
 2005   0.20  -2.99  -0.26  -1.22  -1.46   0.11   0.06  -0.97   0.34   1.12  -0.42   0.01   -0.46
 2006   1.29  -0.12   1.32   1.17  -0.96  -0.98  -0.90  -1.75  -0.60  -1.52   0.05  -0.39   -0.28
 2007  -0.83  -0.38  -0.30  -0.35  -0.30   0.14  -0.44   0.01   0.12   0.44   0.82   1.49    0.03
 2008   1.54   2.05   1.04   0.56  -0.25   0.34   0.20   0.64   1.26   1.52   1.64   1.43    1.00
 2009   0.85   1.37  -0.21   1.06  -0.86  -0.45   0.18  -0.59   0.35  -1.66  -0.67  -0.95   -0.13
 2010  -1.13  -1.59  -1.40   1.88   0.85   0.24   1.95   1.77   2.44   1.80   1.62   2.90    0.95
 2011   2.01   2.12   2.09   3.02   0.46  -0.04   1.11   0.07   1.14   0.91   1.41   2.45    1.40
 2012   0.90   0.22   0.20  -0.65  -0.38  -1.51  -0.15  -0.74   0.22   0.17   0.33  -0.77   -0.18
 2013  -0.10  -0.47   1.06   0.01   0.90   1.45   0.76  -0.23   0.41  -0.34   0.75  -0.05    0.35
 2014   1.19  -0.32  -1.70   0.81   0.72  -0.46  -0.26  -1.42  -0.66  -0.86  -0.96  -0.66   -0.38
 2015  -0.87  -0.04  -1.40  -0.27  -1.04  -1.72  -1.41  -2.15  -1.65  -1.91  -0.63  -1.00   -1.17
 2016  -2.12  -2.09  -0.75  -2.61   0.22   0.44   0.45   0.40   1.28  -0.66  -0.23   0.19   -0.46
 2017   0.08  -0.33   0.41  -0.75   0.23  -1.39   0.85   0.17   0.62 -99.99 -99.99 -99.99  -99.99
